iter	Passed	Remaining
0	169	507302
1	197	296485
2	224	224686
3	254	190620
4	284	170286
5	312	155905
6	342	146289
7	371	139065
8	400	133220
9	429	128294
10	453	123312
11	483	120371
12	513	117970
13	543	115906
14	572	114001
15	602	112404
16	631	110852
17	655	108656
18	702	110286
19	743	110853
20	776	110144
21	805	109070
22	836	108332
23	865	107321
24	894	106399
25	923	105609
26	953	104941
27	983	104381
28	1011	103650
29	1038	102835
30	1062	101777
31	1095	101602
32	1120	100715
33	1145	99946
34	1169	99057
35	1193	98252
36	1217	97509
37	1245	97065
38	1271	96521
39	1295	95886
40	1323	95553
41	1347	94925
42	1371	94297
43	1395	93727
44	1418	93145
45	1442	92628
46	1466	92130
47	1491	91712
48	1516	91313
49	1540	90909
50	1576	91147
51	1600	90726
52	1626	90446
53	1651	90083
54	1676	89795
55	1709	89878
56	1738	89743
57	1768	89706
58	1801	89781
59	1830	89701
60	1857	89494
61	1892	89676
62	1916	89332
63	1939	88982
64	1964	88684
65	1988	88381
66	2011	88068
67	2035	87751
68	2058	87450
69	2082	87165
70	2106	86899
71	2130	86653
72	2154	86390
73	2178	86120
74	2202	85900
75	2226	85671
76	2251	85464
77	2275	85230
78	2298	84988
79	2321	84746
80	2346	84544
81	2370	84348
82	2393	84117
83	2417	83911
84	2440	83696
85	2463	83483
86	2488	83305
87	2527	83635
88	2554	83551
89	2586	83617
90	2616	83653
91	2642	83514
92	2667	83366
93	2716	83975
94	2747	84009
95	2791	84436
96	2820	84408
97	2850	84406
98	2876	84298
99	2905	84263
100	2932	84182
101	2957	84030
102	2981	83853
103	3005	83690
104	3030	83551
105	3055	83424
106	3080	83280
107	3107	83225
108	3134	83134
109	3160	83025
110	3183	82859
111	3207	82703
112	3243	82861
113	3267	82720
114	3290	82560
115	3314	82412
116	3338	82258
117	3361	82098
118	3386	81975
119	3410	81846
120	3434	81721
121	3458	81587
122	3482	81463
123	3507	81353
124	3532	81237
125	3557	81142
126	3581	81022
127	3605	80903
128	3629	80769
129	3655	80696
130	3678	80565
131	3702	80442
132	3726	80326
133	3769	80629
134	3798	80606
135	3826	80577
136	3856	80586
137	3885	80582
138	3914	80569
139	3938	80456
140	3963	80371
141	3997	80453
142	4015	80231
143	4052	80382
144	4082	80388
145	4118	80509
146	4152	80585
147	4179	80539
148	4207	80515
149	4234	80447
150	4275	80660
151	4303	80632
152	4345	80853
153	4377	80890
154	4405	80858
155	4433	80821
156	4464	80838
157	4492	80804
158	4520	80767
159	4548	80736
160	4573	80649
161	4613	80828
162	4641	80793
163	4671	80782
164	4701	80785
165	4731	80785
166	4760	80762
167	4790	80758
168	4819	80742
169	4847	80704
170	4875	80653
171	4903	80620
172	4930	80569
173	4963	80608
174	4991	80573
175	5016	80485
176	5044	80453
177	5070	80393
178	5095	80304
179	5120	80213
180	5142	80099
181	5165	79987
182	5189	79887
183	5211	79763
184	5243	79782
185	5267	79687
186	5290	79577
187	5313	79471
188	5335	79360
189	5374	79487
190	5402	79455
191	5430	79417
192	5458	79385
193	5494	79466
194	5526	79498
195	5564	79611
196	5605	79756
197	5633	79721
198	5657	79635
199	5691	79676
200	5720	79660
201	5764	79846
202	5799	79911
203	5849	80171
204	5897	80412
205	5932	80461
206	5977	80649
207	6010	80680
208	6043	80703
209	6070	80656
210	6095	80566
211	6119	80477
212	6143	80387
213	6175	80393
214	6205	80378
215	6242	80458
216	6285	80611
217	6316	80604
218	6341	80526
219	6366	80451
220	6392	80379
221	6417	80305
222	6442	80227
223	6467	80145
224	6496	80124
225	6558	80499
226	6597	80598
227	6636	80682
228	6665	80655
229	6708	80797
230	6771	81164
231	6814	81308
232	6848	81331
233	6890	81454
234	6940	81657
235	6983	81785
236	7022	81873
237	7065	81991
238	7112	82160
239	7175	82518
240	7277	83319
241	7324	83470
242	7371	83637
243	7421	83823
244	7467	83972
245	7505	84026
246	7552	84176
247	7589	84213
248	7620	84196
249	7652	84172
250	7684	84163
251	7719	84176
252	7753	84187
253	7800	84334
254	7847	84473
255	7891	84582
256	7929	84631
257	7953	84530
258	7976	84420
259	7999	84306
260	8030	84268
261	8058	84209
262	8091	84202
263	8120	84163
264	8152	84140
265	8174	84018
266	8196	83896
267	8218	83781
268	8239	83651
269	8269	83615
270	8299	83574
271	8334	83595
272	8363	83541
273	8395	83524
274	8421	83452
275	8446	83367
276	8471	83279
277	8504	83273
278	8529	83183
279	8567	83226
280	8596	83177
281	8628	83166
282	8657	83119
283	8691	83115
284	8717	83042
285	8742	82964
286	8768	82891
287	8793	82804
288	8816	82703
289	8850	82703
290	8873	82605
291	8896	82504
292	8925	82462
293	8958	82456
294	8988	82420
295	9018	82389
296	9050	82365
297	9076	82294
298	9100	82205
299	9124	82119
300	9151	82061
301	9177	81986
302	9216	82031
303	9243	81978
304	9270	81913
305	9311	81979
306	9343	81956
307	9378	81969
308	9413	81981
309	9442	81935
310	9477	81948
311	9505	81889
312	9530	81813
313	9562	81802
314	9588	81734
315	9613	81653
316	9640	81590
317	9668	81546
318	9702	81541
319	9732	81507
320	9773	81565
321	9810	81587
322	9845	81597
323	9879	81594
324	9908	81558
325	9933	81475
326	9971	81513
327	10001	81474
328	10039	81506
329	10076	81525
330	10100	81441
331	10126	81381
332	10157	81348
333	10198	81401
334	10227	81361
335	10259	81345
336	10296	81360
337	10338	81419
338	10375	81443
339	10410	81449
340	10447	81469
341	10475	81412
342	10510	81420
343	10535	81344
344	10574	81379
345	10598	81298
346	10624	81230
347	10649	81158
348	10673	81078
349	10702	81030
350	10730	80984
351	10796	81217
352	10831	81219
353	10866	81222
354	10895	81177
355	10918	81092
356	10941	81005
357	10965	80921
358	10991	80862
359	11020	80814
360	11048	80769
